ESPERANTO,ENGLISH,AFRIKÁANS,ALBANIAN,AZERBAIJANI,AZERI,BOSNIAN,CATALAN,CEBUANO,CZECH,CHICHEWA,CORSA,HAITIAN CREOLE,CROATIAN,DANISH,SLOVAK,SLOVENIAN,IRISH,ICELANDIC,SPANISH,ESTONIAN,BASQUE,FINNISH,FRENCH,FRIESIAN,SCOTTISH GAELIC,WELSH,GALICICIAN,HAUSA,HAWUAIAN,HMONG,HUNGARIAN,IGBO,INDONESIAN,ITALIAN,JAVANESE,KURDISH,LATIN,LATVIAN,LITHUANIAN,LUXEMBOURGISH,MALAY,MALAGASY,MALTESE,MAORI,DUTCH,NORWEGIAN,POLISH,PORTUGUESE,ROMANIAN,SAMOAN,SESOTHO,SHONA,SOMALI,SWAHILI,SWEDISH,SUNDANESE,TAGALOG,TURKISH,UZBEK,VIETNAMESE,XHOSA,YORUBA,ZULU,,,
Saluton,Hello,hallo,Përshëndetje,Salam,Salam,zdravo,Hola,Hello,Ahoj,Moni,Bonghjornu,Bonjou,zdravo,Hej,Ahoj,zdravo,Dia dhuit,Halló,Hola,Tere,Kaixo,Hei,Bonjour,Hoi,Halò,Helo,Ola,Hello,aloha,Nyob zoo,Helló,Nnọọ,Halo,Ciao,Hello,slav,Salve,Sveiki,Sveiki,Hallo,Hello,Salama,Bongu,Hello,Hallo,Hallo,Witaj,Olá,buna,talofa,Lumela,mhoro,haye,Habari,Hej,Halo,Kamusta,Merhaba,Salom,xin chào,Mholo,Pẹlẹ o,Sawubona,,,
bona,good,goeie,mirë,yaxşı,yaxşı,dobro,bo,maayo,dobrý,zabwino,bene,bon,dobro,godt,dobrý,dobra,maith,góður,bueno,hea,ona,hyvä,bien,goed,math,da,bo,mai kyau,maikaʻi loa,zoo,jó,mma,baik,bene,apik,baş,bonum,labi,Gerai,gutt,baik,tsara,tajba,pai,mooi zo,god,dobry,Boa,bun,lelei,e ntle,kugona,wanaagsan,nzuri,Bra,alus,mabuti,iyi,yaxshi,tốt,Kulungile,ti o dara,okuhle,,,
mateno,morning,oggend,mëngjes,səhər,səhər,jutro,demà,buntag,ráno,m'mawa,mane,maten,jutro,morgen,dopoludnia,jutro,maidin,morgunn,Mañana,hommik,goizean,aamu,Matin,moarntiid,madainn,bore,mañá,safe,kakahiaka,thaum sawv ntxov,reggel,ụtụtụ,pagi,mattina,enjing,sib,mane,rīts,rytas,Moien,pagi,maraina,filgħodu,ata,ochtend-,morgen,ranek,manhã,dimineaţă,taeao,hoseng,mangwanani,subax,asubuhi,morgon-,isuk,umaga,sabah,ertalab,buổi sáng,ntseni,owurọ,ekuseni,,,
tago,day,dag,ditë,gün,gün,dan,dia,adlaw,den,tsiku,ghjornu,jou,dan,dag,deň,dan,lá,dagur,día,päev,egun,päivä,journée,dei,latha,Dydd,día,rana,lā,hnub,nap,ụbọchị,hari,giorno,dina,roj,dies,diena,diena,Dag,hari,andro,jum,ra,dag,dag,dzień,dia,zi,aso,letsatsi,zuva,maalintii,siku,dag,dinten,araw,gün,kun,ngày,usuku,ọjọ,usuku,,,
meza,middle,middel,mes,orta,orta,srednji,mig,tunga-tunga,střední,pakati,mezzu,mitan,srednji,midten,prostredný,srednji,lár,miðja,medio,keskmine,erdiko,keskimmäinen,milieu,midden,meadhan,canol,medio,tsakiya,waena,nruab nrab,középső,n'etiti,tengah,mezzo,tengah,navîn,medium,vidus,vidurys,Mëtt,pertengahan,afovoany,nofs,waenganui,midden-,midten,środkowy,meio,mijloc,moa,bohareng,pakati,dhexe,katikati,mitten,patengahan,gitna,orta,o'rta,ở giữa,phakathi,arin,maphakathi,,,
nokto,night,nag,natë,gecə,gecə,noć,nit,gabii,noc,usiku,notte,lannwit,noć,nat,nočné,noč,oíche,nótt,noche,öö,gauean,yö,nuit,nacht,oidhche,nos,noite,dare,pō,hmo ntuj,éjszaka,abalị,malam,notte,wengi,şev,noctis,nakts,naktis,Nuecht,malam,alina,lejl,po,nacht,natt,noc,noite,noapte,po,bosiu,husiku,habeenkii,usiku,natt,wengi,gabi,gece,tun,đêm,busuku,night,ubusuku,,,
nomo,name,naam,emër,ad,ad,ime,nom,ngalan,název,dzina,nomu,non,Ime,navn,názov,ime,ainm,nafn,nombre,nimi,izen,nimi,Nom,namme,ainm,enw,nome,sunan,inoa,lub npe,név,aha,nama,nome,jeneng,nav,nomine,nosaukums,vardas,Numm,nama,Anarana,isem,ingoa,naam,Navn,Nazwa,nome,Nume,igoa,lebitso la,zita,magaca,jina,namn,nami,pangalan,isim,ism,Tên,igama,orukọ,igama,,,
esti,to be,om te wees,te behesh,olmaq,olmaq,biti,ser,nga mahimong,být,kukhala,esse,yo dwe,biti,at være,byť,biti,a bheith,að vera,ser - estar,olla,izan,olla,être,wêze,Gu bhith,i fod yn,ser,ya zama,e,yuav tsum tau,lenni,na-,menjadi,essere,dadi,hebûn,esse,būt,būti,sinn,akan menjadi,mba ho,li tkun,ki te waiho,zijn,å være,być,ser estar,a fi,pe 'a,ho ba,kuva,in uu noqdo,kuwa,att vara,janten,maging,olmak,bolmoq,được,ukuba,lati wa ni,uku,,,
farto,health,gesondheid,shëndetësor,sağlamlıq,sağlamlıq,zdravlje,salut,panglawas,zdraví,thanzi,salute,sante,zdravlje,sundhed,zdravie,zdravje,sláinte,heilsa,salud,tervis,osasun,terveys,santé,sûnens,slàinte,iechyd,saúde,kiwon lafiya,ola kino,noj qab haus huv,Egészség,ahụ ike,kesehatan,Salute,kesehatan,tendûrûstî,salutem,veselība,sveikata,Gesondheet,kesihatan,fahasalamana,saħħa,hauora,Gezondheid,Helse,zdrowie,saúde,sănătate,soifua maloloina,bophelo,utano,caafimaadka,afya,hälsa,kasehatan,kalusugan,sağlık,sog'lik,Sức khỏe,zempilo,ilera,impilo,,,
ŝati,like,soos,si,kimi,kimi,poput,M'agrada,sama sa,jako,ngati,cum'è,tankou,Kao,synes godt om,Páči sa mi to,kot,cosúil le,eins,me gusta,nagu,bezalako,Kuten,comme,lykas,mar,fel,como,kamar,e like,zoo li,mint,dị ka,Suka,piace,kaya,çawa,tamquam,tāpat,Kaip,wëll,seperti,toy ny,bħal,rite,Leuk vinden,som,lubić,gostar,ca,pei,joaloka,se,sida,kama,tycka om,siga,gaya ng,sevmek,kabi,giống,ezifana,bi,efana,,,
