ESPERANTO,ENGLISH,AFRIKÁANS,ALBANIAN,AZERBAIJANI,AZERI,BOSNIAN,CATALAN,CEBUANO,CZECH,CHICHEWA,CORSA,HAITIAN CREOLE,CROATIAN,DANISH,SLOVAK,SLOVENIAN,IRISH,ICELANDIC,SPANISH,ESTONIAN,BASQUE,FINNISH,FRENCH,FRIESIAN,SCOTTISH GAELIC,WELSH,GALICICIAN,HAUSA,HAWUAIAN,HMONG,HUNGARIAN,IGBO,INDONESIAN,ITALIAN,JAVANESE,KURDISH,LATIN,LATVIAN,LITHUANIAN,LUXEMBOURGISH,MALAY,MALAGASY,MALTESE,MAORI,DUTCH,NORWEGIAN,POLISH,PORTUGUESE,ROMANIAN,SAMOAN,SESOTHO,SHONA,SOMALI,SWAHILI,SWEDISH,SUNDANESE,TAGALOG,TURKISH,UZBEK,VIETNAMESE,XHOSA,YORUBA,ZULU
post,after,na,pas,sonra,sonra,nakon,després,human sa,po,pambuyo,dopu à,apre,nakon,efter,po,po,tar éis,eftir,después,pärast,ondoren,jälkeen,après,nei,an dèidh,ar ôl,despois,bayan,ma hope o,tom qab,utána,mgbe,setelah,dopo,sawise,piştî,post,pēc,po,no,selepas,rehefa,wara,i muri i,na,etter,po,depois de,după,ina ua mavae,ka mor'a,pashure,ka dib,baada,efter,saatos,pagkatapos,sonra,so'ng,sau,emva,lẹhin,ngemuva
en,in,in,në,ilə,ilə,u,a,sa,v,mu,in,nan,u,i,v,v,i,í,en,sisse,in,sisään,dans,yn,ann an,yn,en,a,i loko o,nyob rau hauv,ban ben,na,di,nel,ing,li,apud,uz,į,an,dalam,in,fl,i roto i,in,i,w,dentro,în,i,ka,mu,in,katika,i,di,sa,içinde,yilda,trong,ngo,ni,e
al,to,om,në,qədər,qədər,u,per,sa,na,kuti,à,,do,til,na,za,chun,að,a,et,to,että,à,nei,gu,i,para,to,i ka,rau,nak nek,ka,untuk,per,kanggo,ber,ut,līdz,į,ze,kepada,ny,li,ki,naar,til,do,para,la,i,ho,kuti,si ay u,kwa,till,ka,sa,için,uchun,đến,ukuba,to,ukuze
ofte,often,dikwels,shpesh,tez-tez,tez-tez,često,sovint,sa kasagaran,často,zambiri,spissu,souvan,često,tit,často,pogosto,Is minic,oft,a menudo,sageli,askotan,usein,souvent,faak,gu tric a ',aml,frecuentemente,sau da yawa,pinepine,feem ntau,gyakran,mgbe,sering,spesso,asring,gelek car,saepe,bieži,dažnai,oft,sering,matetika,spiss,maha,vaak,ofte,często,frequentemente,de multe ori,masani ona,hangata e,kazhinji,inta badan,mara nyingi,ofta,remen,madalas,sıklıkla,ko'pincha,thường,bavame,igba,ngokuvamile
ne,not,nie,nuk,yox,yox,ne,no,dili,ne,osati,ùn,pa,ne,ikke,nie,ne,ní,ekki,no,mitte,ez,ei,ne pas,net,chan eil,nid,non,ba,ole,tsis,nem,bụghị,tidak,non,ora,ne,non,nav,ne,net,tidak,tsy,mhux,e kore,niet,ikke,nie,não,nu,lē,ha,kwete,ma,si,inte,teu,hindi,değil,yo'q,không phải,hayi,ko,hhayi
inter,between,tussen,ndërmjet,arasında,arasında,između,entre,sa taliwala sa,mezi,pakati,trà,ant,između,mellem,medzi,med,idir,milli,Entre,vahel,arteko,välillä,entre,tusken,eadar,rhwng,entre,tsakanin,waena o,ntawm,között,n'etiti,antara,fra,antarane,navber,inter,starp,tarp,tëschent,antara,eo,bejn,i waenganui i,tussen,mellom,pomiędzy,entre,între,i le va o,pakeng,pakati,inta u dhaxaysa,kati,mellan,antawis,sa pagitan ng,arasında,o'rtasida,giữa,phakathi,laarin,phakathi
anstataŭ ,instead of,in plaas van,në vend të,əvəzinə,əvəzinə,umjesto,en lloc de,sa baylo nga sa,namísto,m'malo mwa,invece di,olye pou yo,umjesto,i stedet for,namiesto,namesto,in ionad,í staðinn fyrir,en lugar de,selle asemel,ordez,sijasta,au lieu de,yn plak fan,an àite,yn lle,en vez de,maimakon,ma kahi o,es tsis txhob ntawm,ahelyett,kama,dari pada,invece di,tinimbang,di şona,pro,tā vietā,vietoj,amplaz vun,bukannya,raha tokony ho,minflok,hei utu o,in plaats van,i stedet for,zamiast,ao invés de,in loc de,nai lo le,sebakeng sa,panzvimbo ye,halkii,badala ya,istället för,sabalikna,sa halip,onun yerine,ning o'rniga,thay vì,ngaphandle kwe,dipo,esikhundleni se
da,of,van,të,of,of,od,de,sa,z,wa,di,nan,od,af,z,za,de,af,de,kohta,of,of,de,fan,de,o,de,na,o ka,ntawm,"nak,-nek",nke,dari,di,saka,ji,autem,no,apie,vun,daripada,ny,ta,o,van,av,z,do,de,a,ya,pamusoro,of,ya,av,ti,ng,nın-nin,ning,của,of,ti,ka
de,of,van,të,of,of,od,de,sa,z,wa,di,nan,od,af,z,za,de,af,de,kohta,of,of,de,fan,de,o,de,na,o ka,ntawm,"nak,-nek",nke,dari,di,saka,ji,autem,no,apie,vun,daripada,ny,ta,o,van,av,z,do,de,a,ya,pamusoro,of,ya,av,ti,ng,nın-nin,ning,của,of,ti,ka
dum,while,terwyl,derisa,isə,isə,dok,mentre,samtang,zatímco,pamene,mentri,pandan y ap,dok,mens,zatiaľ čo,medtem,cé,en,mientras,kuigi,bitartean,sillä aikaa,tandis que,wylst,fhad 'sa,tra,mentres,yayin da,ana,thaum,míg,mgbe,sementara,mentre,nalika,demek,dum,kamēr,o,iwwerdeems,manakala,raha mbola,filwaqt li,ia,terwijl,samtidig som,podczas,enquanto,in timp ce,aʻo,ha,apo,halka,wakati,medan,waktu,habang,süre,paytda,trong khi,kanti,nigba ti,ngenkathi
